seed,eval_best_burst_mean,eval_final_mean,jensen_clipped,jensen_signed
0,18.440177315473555,17.324533092975617,0.0,-5.263782657384873
1,19.21452773809433,15.687788033485413,0.0,-6.132861874222756
2,12.143628680706025,10.691488873958587,0.0,-3.13046044999361
3,20.525417971611024,18.041556787490844,0.0,-7.155150076329708
4,17.833226096630096,13.388814866542816,0.0,-5.944342282354832
5,19.158745861053468,15.907862222194671,0.0,-5.837559033691883
6,9.969902315735817,9.969902315735817,0.0,-2.701664288163185
7,10.175510480999947,8.379292201995849,0.0,-3.1397246568202974
8,17.59093050956726,13.612071341276168,0.0,-5.266688200712204
9,13.814448130130767,13.814448130130767,0.0,-4.04669517993927
10,3.99952018558979,2.412112671136856,0.0,-1.017995088815689
11,16.245604860782624,12.444198316335678,0.0,-5.204073963284492
12,13.07906744480133,9.940508645772933,0.0,-3.679803557217121
13,13.964201056957245,13.964201056957245,0.0,-4.97545490783453
14,10.786581021547317,10.786581021547317,0.0,-3.0188666782975195
15,12.986591732501983,7.811917570233345,0.0,-3.465948330938816
16,9.182581239938736,9.098947063088417,0.0,-2.774553049981594
17,8.975719913840294,5.743096640706062,0.0,-2.7402472627162933
18,21.436711263656616,20.183477285504342,0.0,-7.120862531304359
19,18.741587376594545,12.273781096935272,0.0,-5.476387002050877
20,19.711688458919525,17.009945797920228,0.0,-6.710131019473076
21,15.88226478099823,15.509995895624161,0.0,-4.731147452712059
22,16.633308279514313,16.633308279514313,0.0,-5.15359964543581
23,20.13551170527935,14.867312908172607,0.0,-6.195095118284225
24,17.92532547712326,16.149050724506377,0.0,-3.5714048550724984
25,18.18075416982174,17.545004153251647,0.0,-6.5858731370568275
26,20.01230001449585,20.01230001449585,0.0,-6.754182688295841
27,11.864373159408569,9.140034174919128,0.0,-3.0576286159157755
28,19.95906404852867,19.89139859676361,0.0,-7.195374570131301
29,21.547822093963624,12.397880566120147,0.0,-8.209272059679032
