env,direction,d_raw,redq_V_late,redq_D_late,pct_reduced
Asterix,HARM,-0.8,75.6884794340726,40.77043182809241,46.133900254126615
Breakout,help,0.66,16.032056117613543,7.683465396782208,52.07436064086125
FourRooms,help,1.35,87.91935090100846,4.930959095708423,94.39149738348232
SpaceInvaders,help,2.16,5.991817519155025,3.607388601230038,39.794751931317876
