arm,n,eval_best_burst_raw_mean,eval_best_burst_mean,jensen_gap,jensen_signed,normalized_bias_redq_late,q_late_mean,ddqn_bootstrap_gap,q_growth_max_minus_initial,q_max_growth,q_argmax_margin_late,argmax_entropy_late,q_action_std_late,q_mc_burst_correlation_late
vanilla,30,22.033458800213342,12.42035039663315,280.35177135583564,280.35177135583564,60.94567436866891,435.70331988611036,0.06740350410530323,673.3470204484438,13.70694791486751,2.71457325074056,0.3381762762940541,4.337884560958073,0.3001236594175009
DDQN,30,18.866769184391508,10.93069924354553,126.85023067860601,126.85023067860601,32.05196312146757,197.44497303803968,0.03742764935912362,281.15978988306074,9.658252668861808,1.406564360691325,0.3573956666257296,2.143324490241544,0.20409636026548883
DDQN-indp,30,23.00009467426202,15.67056977947553,0.0,-4.875227674470344,-0.7094149272468045,2.43647424175112,0.006139082516350844,2.8284222473117895,2.3601328866760807,0.017751320364544788,1.340063845379818,0.026888095167905045,0.7588201323474838
